id,動画場面1説明,動画場面1テキストエリア1,動画場面1テキストエリア2,動画場面2説明,動画場面2テキストエリア1,動画場面2テキストエリア2,動画場面3説明,動画場面3テキストエリア1,動画場面3テキストエリア2,投稿のテキスト,ハッシュタグ
1,真っ暗な画面から光が差し込む,24時間,いつでも質問OK,AI先生がパソコン画面に表示されている様子,あなただけの,学習プラン,生徒が嬉しそうに学習している様子,if(塾)の,AI先生システム,if(塾)のAI先生は24時間あなたをサポート！個人に合わせた最適な学習で成長を加速させます,#if塾 #AI先生 #24時間サポート #個別学習
2,マインクラフトの世界が映し出される,ゲーム感覚で,プログラミング学習,生徒がコマンドブロックを操作する様子,創造力を,最大限に発揮,完成した壮大な建築物が空から見下ろされる,楽しく学んで,本物のスキル習得,マインクラフトで楽しくプログラミングを学習！遊びながら本格的なスキルが身につきます,#if塾 #マインクラフト教育 #プログラミング学習 #創造力
3,不登校で悩む生徒の後ろ姿,中学特別支援学級,から,塾長が笑顔でパソコンに向かう様子,国立大学,合格達成,現在塾長として他の生徒を指導する様子,今度は君の番だ,可能性は無限大,不登校から国立大学合格を果たした塾長の実体験。あなたも必ず道は開けます,#if塾 #不登校支援 #国立大学合格 #可能性 #塾長体験談
4,高校生が真剣に会議をしている様子,高校1年で,起業スタート,若い運営メンバーが活き活きと働く姿,同世代だから,わかる悩み,生徒と運営メンバーが笑顔で話している様子,未来の起業家を,育成します,現役高校生起業家が運営するif(塾)。同世代だからこそできるサポートがあります,#if塾 #高校生起業家 #同世代サポート #起業教育
5,電卓に11000という数字が映る,月額11000円で,すべて込み,様々なサービスアイコンが次々と表示,オンライン授業も,AI先生も,生徒が満足そうにサービスを利用している,コスパ最強の,教育サブスク,月額11000円でこれだけのサービス！コスパ最強の教育サブスクです,#if塾 #月額11000円 #教育サブスク #コスパ最強
6,企業のオフィス風景,実際の企業から,案件が来る,生徒が真剣に作業する様子,メンターが,完全サポート,報酬を受け取って喜ぶ生徒の様子,学びながら,稼ぐ体験,if(チャレンジ)で実際の企業案件に挑戦！学習しながら報酬も獲得できます,#if塾 #ifチャレンジ #企業案件 #実践学習 #報酬獲得
7,日本地図に地方と都市部の格差を示すグラフ,地域格差を,解消したい,オンライン授業で全国の生徒が学ぶ様子,全国どこでも,同じ品質の教育,秋田から全国に向けて発信する様子,地方発,ICT教育革命,地方でも最先端のICT教育を！if(塾)が教育格差解消に挑みます,#if塾 #地域格差解消 #地方ICT教育 #教育革命
8,心理学の本が開かれる様子,元臨床心理士の,専門アプローチ,塾頭が生徒一人ひとりと向き合う様子,心の成長も,一緒にサポート,生徒が安心して学習している様子,第三の居場所,ここにあります,心理学の専門知識を持つ塾頭が、あなたの心と学習の両面をサポートします,#if塾 #臨床心理士 #心理学的アプローチ #第三の居場所
9,秋田県の美しい風景,秋田の文化を,ゲームに込めて,Kitazunaのゲーム画面とキャラクター,伝統と革新の,融合,地域から全国へ発信する様子,地域創生,×ゲーム開発,秋田発の地域創生ゲームKitazuna！伝統文化とテクノロジーの新しい融合です,#if塾 #Kitazuna #地域創生ゲーム #秋田県
10,6つのクエストアイコンが順番に表示,初心者でも,安心スタート,生徒が段階的に学習している様子,ステップバイステップで,確実にスキルアップ,達成感を味わう生徒の笑顔,クエスト形式で,楽しく学習,if(チャレンジ)forビギナーは6つのクエスト形式！初心者も安心してスタートできます,#if塾 #ifチャレンジビギナー #初心者歓迎 #段階学習
