表紙画像説明,表紙テキストエリア1,表紙テキストエリア2,内容1画像説明,内容1テキストエリア1,内容1テキストエリア2,内容2画像説明,内容2テキストエリア1,内容2テキストエリア2,内容3画像説明,内容3テキストエリア1,内容3テキストエリア2,投稿のテキスト+ハッシュタグ
"日本人の臨床心理士高崎が笑顔で子どもたちと話している様子、明るいオンライン相談室の背景、温かみのある照明、寄り添う姿勢が伝わる構図、清潔感のある空間","心理士\nの力","子どもの\n心に\n寄り添う\nサポート","オンライン画面越しに日本人の子どもが安心した表情で話している様子、パソコンの画面、リラックスした家庭環境、自然な照明","一人\nひとりを\n理解","個性を\n大切に\nする\n対話","日本人の心理士高崎がノートを取りながら真剣に話を聞いている様子、専門的な雰囲気、メモや資料が見える机、集中した表情","専門的\nアプローチ","心理学の\n知識で\n成長を\n支える","日本人の子どもが自信を持って笑顔を見せている様子、明るい表情、前向きな雰囲気、成長を感じさせる構図、自然光","心の\n成長","自己肯定感を\n育む\n支援","if(塾)の塾頭は臨床心理士の資格を持つ心理の専門家です。一人ひとりの子どもの個性や特性を理解し、心に寄り添いながら成長をサポートします。心理学の専門知識を活かした対話で、自己肯定感を育み、前向きな学びを実現します。
#if塾 #臨床心理士 #心理サポート #個性尊重 #子ども支援 #自己肯定感"
"日本人の心理士高崎が発達障害の特性について説明している図解、カラフルなイラスト、分かりやすい説明資料、温かみのあるデザイン","発達\n障害を\n理解","特性を\n知ることから\n始まる\nサポート","日本人の子どもが自分のペースで学習している様子、集中している表情、個別対応の環境、落ち着いた空間、適切な照明","それぞれの\nペース","無理なく\n学べる\n環境","日本人の心理士高崎が保護者に優しく説明している様子、安心した表情の保護者、相談室の風景、温かい雰囲気、信頼関係が伝わる構図","保護者\nサポート","一緒に\n考える\n子育て","日本人の子どもが笑顔で活動している様子、楽しそうな表情、仲間と協力している場面、明るい雰囲気、自然な交流","個性が\n輝く","一人ひとりの\n強みを\n伸ばす","発達障害や特性のある子どもたちを塾頭高崎(臨床心理士)がサポート。特性を理解し、それぞれのペースで無理なく学べる環境を提供します。保護者とも密に連携し、家庭での関わり方もアドバイス。個性を輝かせ、強みを伸ばす支援を行います。
#発達障害 #ASD #ADHD #特性理解 #個別支援 #if塾"
"日本人の若い起業家山﨑がパソコンでAI開発をしている様子、モダンなオフィス環境、複数のモニター画面、集中した表情、プログラミングコード","AI\n開発","学生起業家が\n教える\n最先端技術","日本人の高校生山﨑がプレゼンテーションしている様子、自信に満ちた表情、スライドとグラフ、ビジネス的な雰囲気、聴衆の前で堂々と","起業家\n精神","高校生\nから\nビジネスを\n学ぶ","日本人の若者がチームでプロジェクトを進めている様子、ホワイトボードにアイデア、協力して作業、活気ある雰囲気、創造的な空間","実践的\n学習","本物の\n仕事で\nスキル\n習得","日本人の学生が達成感に満ちた笑顔を見せている様子、完成したプロジェクト、成功の喜び、仲間と祝福、明るい未来を感じる構図","夢を\n実現","若い力で\n未来を\n切り拓く","if(塾)の塾長は高校生で起業した学生起業家です。AI開発や事業運営の経験を活かし、最先端の技術とビジネスの実践的なスキルを教えます。実際のプロジェクトを通じて、起業家精神を育み、夢を実現する力を身につけます。
#学生起業家 #AI開発 #起業家教育 #ビジネス #実践的学習 #if塾"
"日本人の開発者井上がマインクラフトの複雑な回路を構築している画面、ブロックとレッドストーン回路、技術的な仕組み、創造的な建築物","マイン\nクラフト\n開発","ゲームで\n学ぶ\nプログラミング\n的思考","日本人の子どもがマインクラフトでコマンドブロックを使っている様子、画面越しに集中、プログラミングの基礎、論理的思考を働かせる表情","コマンド\nブロック","仕組みを\n作る\n楽しさ","日本人の開発者井上が巨大な建築物を完成させた場面、マインクラフトの壮大な世界、創造性の結晶、達成感のある構図","創造力\nを形に","想像を\n超える\n世界を\n構築","日本人の子どもたちが協力してマインクラフトで作品を作っている様子、チームワーク、楽しそうな表情、協働作業、創作の喜び","仲間と\n共に","協力して\n大きな\nものを\n作る","if(塾)のCTOはマインクラフトワールドの全開発を担当する開発の達人です。コマンドブロック、レッドストーン回路、複雑な仕組みを駆使し、子どもたちにプログラミング的思考を教えます。創造力を形にし、仲間と協力する楽しさを体験できます。
#マインクラフト #プログラミング #CTO #開発 #創造力 #if塾"
"日本人の高校生が実際のウェブサイトを制作している様子、コードエディタ画面、デザインと機能、プロフェッショナルな作業環境、集中した表情","実際の\n仕事","高校生が\n企業案件に\n挑戦","日本人の生徒が報酬を受け取って喜んでいる様子、達成感の表情、給与明細や振込通知、自分で稼ぐ喜び、成長の実感","報酬\nを得る","自分の\nスキルで\nお金を\n稼ぐ","日本人のメンターが生徒にアドバイスしている様子、丁寧な指導、温かいサポート、成長を見守る姿勢、信頼関係が伝わる構図","メンター\nサポート","安心して\n挑戦\nできる\n環境","日本人の生徒が自信に満ちた笑顔でプレゼンしている様子、成長した姿、スキルアップの証、堂々とした態度、未来への期待","スキル\nアップ","実践で\n身につく\n本物の\n力","if(チャレンジ)では小中高生が実際の仕事に挑戦できます。ウェブ制作、動画編集、マインクラフト建築など、自分のスキルを活かして報酬を得られる仕組み。メンターがサポートするので安心です。実践的な経験で本物の力が身につきます。
#if塾 #仕事体験 #報酬 #実践的 #スキルアップ #ifチャレンジ"
"日本人の生徒がAdobe Premiere Proで動画編集している様子、タイムライン画面、エフェクトとトランジション、クリエイティブな作業、集中した表情","動画\n編集","クリエイティブ\nスキルを\n磨く","日本人の生徒が完成した動画を確認している様子、満足そうな表情、プレビュー画面、作品の完成度、達成感が伝わる構図","作品\n完成","自分の\nアイデアが\n形に\nなる喜び","日本人のメンターが動画編集のテクニックを教えている様子、画面を指差しながら説明、学習中の生徒、技術指導の場面","プロの\n技術","基礎から\n応用まで\n学べる","日本人の生徒が動画編集の案件で報酬を得ている様子、実績の証明、仕事の対価、スキルがお金になる実感、自信に満ちた表情","稼げる\nスキル","好きを\n仕事に\nする\n第一歩","動画編集のお仕事はif(チャレンジ)で人気の案件です。基礎から丁寧に教えるので初心者でも安心。カット、テロップ、エフェクトなど、プロの技術を学びながら報酬も得られます。クリエイティブな才能を活かして、好きを仕事にしませんか。
#動画編集 #クリエイティブ #仕事 #報酬 #スキル #if塾"
"日本人の子どもがマインクラフトで建築物を設計している様子、ブロックを配置、設計図とアイデア、創造的な作業、楽しそうな表情","建築\nスキル","マイクラで\n建築の\n基礎を\n学ぶ","日本人の子どもが完成した建築物を誇らしげに見ている様子、壮大な作品、創造力の結晶、達成感に満ちた表情、美しい建築","作品\nが報酬に","遊びが\n仕事に\n変わる\n瞬間","日本人のメンターが建築物を評価している様子、フィードバック、建設的なアドバイス、成長を促す指導、温かいサポート","評価\nと成長","メンターが\n丁寧に\nフィードバック","日本人の子どもが次の建築プロジェクトに意欲的に取り組む様子、新しい挑戦、成長への期待、前向きな姿勢、創造意欲が湧く表情","次の\n挑戦へ","スキルを\n磨いて\nより大きな\n報酬を","マインクラフト建築のお仕事では、CTO井上の指導のもと、自分の創造力を活かして建築物を作り、報酬を得られます。学校、街、アトラクションなど様々な建築に挑戦。メンターが評価とフィードバックを行い、スキルアップをサポート。遊びが仕事に変わる体験をしよう。
#マインクラフト #建築 #仕事 #報酬 #創造力 #if塾"
"日本人の中学生山﨑が特別支援学級の教室で学んでいる風景、温かい雰囲気、個別支援の環境、優しい先生、落ち着いた空間","支援級\nから","誰でも\n夢を\n叶えられる","日本人の高校生山﨑がパソコンで起業準備をしている様子、事業計画書、若者チャレンジの資料、挑戦する姿勢、希望に満ちた表情","高校生\nで起業","可能性は\n無限大","日本人の若者山﨑が大学のキャンパスを歩いている様子、国立大学の門、合格の喜び、努力が実った瞬間、輝く未来への一歩","国立\n大学へ","努力は\n必ず\n報われる","日本人の若者が自信に満ちた笑顔で前を向いている様子、達成感、成長の証、希望ある未来、勇気を与える構図、明るい表情","あなた\nも","一歩を\n踏み出そう","if(塾)塾長の山﨑琢己は中学時代に特別支援学級に在籍していましたが、高校で起業し、国立大学にも合格しました。困難を乗り越え、夢を実現した実体験があります。どんな環境からでも、努力と挑戦で未来は切り拓けます。あなたも一歩を踏み出しませんか。
#支援級 #国立大学 #起業 #挑戦 #夢 #if塾"
"日本人の投資家と若者山﨑が真剣に対話している様子、勉強会の風景、プレゼンテーションスライド、ビジネス的な雰囲気、学びの場","投資家\nを招いて","ハイレベルな\n学びの\n機会","日本人の高校生が投資や資金調達について学んでいる様子、メモを取る姿、集中した表情、ビジネス知識の習得、真剣な眼差し","資金\n調達","起業に\n必要な\n知識を\n学ぶ","日本人の若者山﨑が投資家に質問している様子、積極的な姿勢、対話、学びへの意欲、成長の機会、実践的な学習","質問\nタイム","直接\n聞ける\n貴重な\n機会","日本人の参加者が満足そうな表情でイベントを振り返る様子、達成感、学びの成果、ネットワーキング、有意義な時間、感謝の気持ち","貴重な\n体験","人生を\n変える\n出会いと\n学び","塾長山﨑が藤野英人様を招いて投資の勉強会を開催しました。秋田県やEO North Japan様と協力し、高校生が本格的なビジネスと投資について学ぶ機会を提供。一流の方々から直接学べる貴重な体験で、起業家精神と実践的な知識が身につきます。
#投資 #勉強会 #藤野英人 #起業家教育 #ビジネス #if塾"
"日本人のeスポーツプレイヤーがストリートファイター6をプレイしている様子、アーケードコントローラー、ゲーム画面、集中した表情、プロの技術","eスポーツ","ゲームも\n立派な\nスキル","日本人の若者が大学のeスポーツ大会で優勝した瞬間、トロフィーとメダル、喜びの表情、達成感、仲間と祝福する場面","大会\n優勝","努力が\n実を\n結んだ\n瞬間","日本人のeスポーツプレイヤーがYouTubeで配信している様子、カメラとマイク、視聴者とのコミュニケーション、配信環境、楽しい雰囲気","配信\n活動","好きを\n発信する\n喜び","日本人の若者が自信に満ちた表情で次の大会に向けて練習している様子、向上心、目標達成への意欲、成長し続ける姿勢、希望に満ちた表情","さらなる\n高みへ","夢を\n追い続ける\n力","if(塾)所属のeスポーツプレイヤーY君は、ノースアジア大学で開催されたストリートファイター6の大会で塾頭高崎と共に優勝しました。わずか数ヶ月でトップクラスの実力を獲得。YouTubeやTwitchでも配信中。好きなことを極め、夢を追い続ける姿勢を応援します。
#eスポーツ #ストリートファイター6 #大会優勝 #ゲーム #プロゲーマー #if塾"
