ルールカテゴリー,ルール内容,適用対象,優先度
プライバシー保護,登録キャラクターの本名は記載せず役職のみを使用する,ブログ・インスタグラム,必須
プライバシー保護,塾頭高崎翔太は「塾頭」または「塾頭高崎」と表記,ブログ・インスタグラム,必須
プライバシー保護,塾長山﨑琢己は「塾長」または「山﨑塾長」と表記,ブログ・インスタグラム,必須
プライバシー保護,CTO井上陽斗は「CTO」または「井上CTO」と表記,ブログ・インスタグラム,必須
プライバシー保護,学生起業家加賀屋結眞は「学生起業家」または「加賀屋」と表記,ブログ・インスタグラム,必須
プライバシー保護,eスポーツプレイヤー渡辺柚気は「Y君」と表記,ブログ・インスタグラム,必須
記事の位置づけ,現在はAI自動生成の実験段階であり完全自動化への挑戦中である旨を明記,ブログ,必須
記事の位置づけ,現時点では事実と異なる内容が含まれる可能性がある旨を注記,ブログ,必須
記事の位置づけ,将来的に塾頭高崎が書いているような記事になることを目指している,ブログ,推奨
記事の位置づけ,現在の記事内容と実際の活動に大きなズレはない,ブログ,推奨
CTA（行動喚起）,興味を持った読者を問い合わせフォームへ誘導,ブログ,必須
CTA（行動喚起）,問い合わせから体験授業への流れを提示,ブログ,必須
CTA（行動喚起）,インスタグラムのフォローを促す,ブログ・インスタグラム,必須
CTA（行動喚起）,LINE公式アカウントのフォローを促す,ブログ・インスタグラム,必須
免責事項,AIによる自動生成である旨を記事の最後に記載,ブログ,必須
免責事項,内容の正確性について最新情報は問い合わせで確認するよう案内,ブログ,必須
SNS連携,記事内でインスタグラムとLINEへのリンクを設置,ブログ,推奨
SNS連携,各種SNSのフォローボタンを記事内に配置,ブログ,推奨
インスタ投稿,キャプション末尾に必ず免責事項を記載,インスタグラム,必須
インスタ投稿,「塾頭による完全自動化への挑戦としてAIが投稿を生成」の文言を含める,インスタグラム,必須
インスタ投稿,DM・プロフィールリンクからの連絡を促す,インスタグラム,必須
インスタ投稿,無料体験・相談の案内を含める,インスタグラム,必須
