id,表紙画像説明,表紙テキストエリア1,表紙テキストエリア2,内容1画像説明,内容1テキストエリア1,内容1テキストエリア2,内容2画像説明,内容2テキストエリア1,内容2テキストエリア2,内容3画像説明,内容3テキストエリア1,内容3テキストエリア2,投稿のテキスト,ハッシュタグ
1,コーヒー豆とラテアートが美しく映える画像,当店のこだわり\n自家焙煎コーヒー,一杯一杯に\n心を込めて,焙煎機でコーヒー豆を焙煎している様子,毎日\n店内で焙煎,新鮮な豆を\n毎日焙煎して\n最高の香りを\nお届け,世界各地から厳選したコーヒー豆の写真,世界中から\n厳選,エチオピア・\nコロンビアなど\n産地にこだわった\n高品質豆,バリスタが丁寧にドリップしている手元の写真,プロの\nバリスタが淹れる,一杯一杯\n丁寧に抽出\nする本格的な\n味わい,"当店は自家焙煎にこだわったスペシャルティコーヒー専門店です。世界中から厳選した豆を毎日店内で焙煎し、プロのバリスタが丁寧にお淹れします。","#自家焙煎 #コーヒー専門店 #スペシャルティコーヒー #バリスタ #こだわりコーヒー #カフェ #コーヒー好き"
2,新メニューのキャラメルラテの美しい写真,新メニュー登場\nキャラメルラテ,濃厚な甘さと\nコーヒーの調和,キャラメルソースが渦巻くラテのクローズアップ,手作り\nキャラメルソース,毎朝職人が\n手作りする\n濃厚自家製\nキャラメル,ふわふわのミルクフォームとラテアート,ミルクフォーム\nが絶品,バリスタが\n作る滑らかな\nミルクフォーム,キャラメルラテを楽しむ笑顔の女性客,期間限定\nメニュー,今月限定の\n特別メニュー\nをぜひお試し\nください,"新メニュー「キャラメルラテ」が登場！手作りキャラメルソースと自家焙煎コーヒーの絶妙なハーモニーをお楽しみください。今月限定です！","#新メニュー #キャラメルラテ #期間限定 #カフェメニュー #ラテアート #スイーツドリンク #カフェ巡り"
3,おしゃれなカフェ店内の雰囲気写真,心地よい空間で\nくつろぎの時間,居心地の良さに\nこだわりました,木のぬくもりを感じるインテリアとテーブル席,ナチュラルな\nインテリア,木材を基調とした\n温かみのある\n空間デザイン,大きな窓から差し込む自然光と観葉植物,自然光\nたっぷり,明るく開放的な\n雰囲気で\nリラックス\nできる,ゆったりとしたソファ席でくつろぐ客,ゆったり\nソファ席,長時間でも\n快適に過ごせる\nこだわりの\n座席,"当店は居心地の良さにこだわった空間づくりをしています。ナチュラルなインテリアと自然光あふれる店内で、ゆったりとした時間をお過ごしください。","#カフェ #居心地の良い空間 #ナチュラルインテリア #カフェ時間 #リラックス #おしゃれカフェ #癒し空間"
4,手作りスイーツが美しく並ぶショーケース,本日の\n手作りスイーツ,毎朝焼き上げる\n自家製ケーキ,チーズケーキのクローズアップ写真,濃厚\nチーズケーキ,北海道産\nクリームチーズを\nたっぷり使用した\n濃厚な味わい,ガトーショコラとフルーツタルト,日替わり\nケーキ,毎日違う\nケーキをご用意\nお楽しみに,パティシエがケーキを作っている様子,パティシエが\n毎朝手作り,新鮮な材料で\n毎朝焼き上げる\nこだわりの\nスイーツ,"毎朝パティシエが手作りする自家製スイーツをご用意しています。本日のおすすめは濃厚チーズケーキ。コーヒーとの相性も抜群です！","#手作りスイーツ #自家製ケーキ #チーズケーキ #パティシエ #カフェスイーツ #本日のケーキ #デザート"
5,モーニングセットの美味しそうな写真,お得な\nモーニングセット,朝7時から\n10時まで,トーストとゆで卵のプレート,厚切りトースト\nセット,自家製パンの\nトーストに\nゆで卵と\nサラダ付き,ドリンクとクロワッサンのセット,クロワッサン\nセット,サクサクの\nクロワッサンと\nお好きな\nドリンク,モーニングを楽しむ朝の店内風景,ドリンク\n価格のみ,ドリンク価格\nだけでモーニング\nが付いてくる\nお得なセット,"朝7時〜10時限定のお得なモーニングセット！ドリンクをご注文いただくだけで、トーストセットまたはクロワッサンセットが付いてきます。","#モーニング #モーニングセット #朝カフェ #お得 #トーストセット #朝ごはん #カフェ朝食"
6,フレッシュなフルーツスムージーの写真,夏季限定\nフルーツスムージー,新鮮フルーツを\nたっぷり使用,ミキサーで作られるスムージーの様子,フレッシュ\nフルーツ使用,その日仕入れた\n新鮮なフルーツを\nたっぷりと,マンゴースムージーとベリースムージー,3種類から\n選べる,マンゴー・ベリー\nバナナから\nお好きな味を,スムージーを飲む笑顔の女性客,暑い夏に\nぴったり,ビタミンたっぷり\n健康的で\nおいしい\n夏ドリンク,"夏季限定のフレッシュフルーツスムージーが登場！その日仕入れた新鮮なフルーツをたっぷり使用。暑い夏にぴったりの爽やかドリンクです。","#スムージー #フルーツスムージー #夏限定 #フレッシュフルーツ #健康ドリンク #ビタミン #夏カフェ"
7,Wi-Fi・電源完備の作業スペースの写真,作業スペースとして\nもご利用可能,Wi-Fi・電源\n完備,ノートパソコンで作業する人の様子,高速Wi-Fi\n完備,快適に作業\nできる高速\nインターネット\n環境,電源コンセント付きのカウンター席,全席に\n電源あり,充電しながら\n長時間の作業も\n安心して\nできる,静かに集中して作業する店内の雰囲気,集中できる\n環境,適度な\nBGMと静かな\n雰囲気で\n集中できる,"Wi-Fi・電源完備で作業スペースとしても最適です。高速インターネット環境と静かな雰囲気の中で、快適にお仕事や勉強ができます。","#作業スペース #WiFi完備 #電源あり #カフェワーク #ノマドワーカー #勉強カフェ #集中できる"
8,テイクアウトカップとパッケージの写真,テイクアウト\n始めました,お持ち帰りも\n承ります,テイクアウトカップに入ったコーヒー,ドリンク\nテイクアウト,すべての\nドリンクメニューが\nテイクアウト\n可能です,パッケージされたスイーツとサンドイッチ,フード\nテイクアウト,スイーツや\nサンドイッチも\nお持ち帰り\nできます,テイクアウトして公園で楽しむ人の様子,いつでも\nどこでも,お好きな場所で\n当店の味を\nお楽しみ\nください,"テイクアウトサービスを始めました！ドリンクもフードもお持ち帰りOK。公園やオフィスで、当店の本格コーヒーをお楽しみいただけます。","#テイクアウト #テイクアウトコーヒー #お持ち帰り #カフェテイクアウト #コーヒーテイクアウト #持ち帰りOK #カフェ"
9,オリジナルブレンドコーヒー豆のパッケージ,コーヒー豆\n販売中,ご自宅でも\n本格的な味を,様々な種類のコーヒー豆が並ぶ棚,豆の販売\nスタート,焙煎したての\n新鮮な豆を\n100gから\n販売,オリジナルブレンドとシングルオリジンの説明,オリジナル\nブレンドも,当店独自の\nブレンドコーヒー\nもご用意,豆を挽いている様子と挽き具合の説明,お好みの\n挽き具合で,豆のままでも\nお好みの挽き\n具合でも\n対応可能,"焙煎したてのコーヒー豆の販売を始めました！ご自宅でも当店の本格的な味をお楽しみいただけます。100gから購入可能です。","#コーヒー豆 #豆販売 #自家焙煎 #焙煎したて #オリジナルブレンド #コーヒー豆販売 #お土産"
10,ランチメニューのプレート写真,ランチメニュー\n始めました,11時から14時\n限定,日替わりパスタランチのプレート,日替わり\nパスタ,毎日違う\nパスタメニュー\nをご用意\nしています,サンドイッチプレートとスープ,サンドイッチ\nセット,ボリューム満点の\nサンドイッチと\nスープ・サラダ,ランチを楽しむお客様の笑顔,ドリンク\nセット割引,ランチと一緒に\nドリンクを\n注文すると\n100円引き,"11時〜14時限定のランチメニューが始まりました！日替わりパスタやサンドイッチセットをご用意。ドリンクセットでお得にお楽しみいただけます。","#ランチ #カフェランチ #日替わりパスタ #サンドイッチ #ランチメニュー #ランチタイム #お得ランチ"
11,夜のカフェバーの雰囲気とカクテルの写真,夜カフェ\nオープン,18時からは\nバータイムに,バーカウンターとお酒のボトルが並ぶ様子,夜は\nバーとして,18時以降は\nお酒も楽しめる\n大人の空間に\n変身,コーヒーカクテルとオリジナルカクテル,コーヒー\nカクテル,バリスタが作る\n本格コーヒー\nカクテルを\nご用意,夜の落ち着いた雰囲気でお酒を楽しむ大人の客,落ち着いた\n大人の時間,ジャズが流れる\n落ち着いた\n雰囲気で\nゆったりと,"18時からは大人の夜カフェバーに変身！バリスタが作る本格コーヒーカクテルやオリジナルカクテルをお楽しみいただけます。","#夜カフェ #カフェバー #コーヒーカクテル #バータイム #大人カフェ #夜の時間 #カクテル"
12,誕生日ケーキとお祝いの装飾,記念日・誕生日\nお祝いプラン,大切な日を\n彩ります,ホールケーキとメッセージプレート,記念日\nケーキ,メッセージ\nプレート付きの\n特別ケーキを\nご用意,デコレーションされた特別な席,デコレーション\nサービス,お席を可愛く\n飾り付けして\nサプライズの\nお手伝い,誕生日を祝う笑顔のグループ客,事前予約\n承ります,2日前までの\nご予約で\n特別プランを\nご用意,"大切な記念日や誕生日のお祝いプランをご用意しています。メッセージプレート付きケーキと席のデコレーションでサプライズをお手伝いします！","#誕生日 #記念日 #お祝い #サプライズ #バースデーケーキ #カフェでお祝い #特別な日"
13,カフェラテアート講座の様子,ラテアート\n体験講座,プロから学ぶ\n本格技術,バリスタがラテアートを教えている様子,プロバリスタ\nが指導,当店の\nバリスタが\n丁寧に教える\n本格講座,ハート型のラテアートを作る参加者の手元,基本の\nハート型から,初心者でも\n作れるハート\nから始めます,完成したラテアートと満足げな参加者,月1回\n開催,毎月第3土曜\n14時から開催\n予約制,"月1回開催のラテアート体験講座！プロのバリスタが基本から丁寧に教えます。初心者大歓迎。次回は今月第3土曜日14時から。ご予約お待ちしております。","#ラテアート #体験講座 #バリスタ #ワークショップ #コーヒー教室 #ラテアート教室 #予約制"
14,常連客の笑顔とスタンプカードの写真,スタンプカード\n始めました,お得に楽しく\n通えます,スタンプカードのデザインとスタンプ,10個で\n1杯無料,ドリンク購入\nごとにスタンプ\n10個で1杯\n無料,カードを提示する嬉しそうな常連客,何度でも\n使える,10個貯まったら\nまた新しい\nカードで\nスタート,スタンプカードを受け取る新規客,アプリも\n準備中,近日中に\nデジタル\nポイントカードも\nスタート予定,"スタンプカードサービスを始めました！ドリンクご購入ごとにスタンプを押印。10個貯まると1杯無料になります。何度でもご利用いただけます！","#スタンプカード #ポイントカード #常連さん #お得 #1杯無料 #リピーター #カフェ特典"
15,季節のブレンドコーヒーのパッケージ,季節限定\n秋のブレンド,深みのある\n味わい,秋をイメージした深煎りコーヒー豆,秋の深煎り\nブレンド,深いコクと\nほろ苦さが\n特徴の秋\nブレンド,ホットコーヒーと紅葉の風景,秋の夜長に\nぴったり,読書や\nリラックス\nタイムに\n最適,秋の味覚スイーツとのペアリング,秋スイーツと\n相性抜群,栗やかぼちゃの\nスイーツとの\nマリアージュを\nお楽しみ,"季節限定の秋のブレンドコーヒーが登場！深いコクとほろ苦さが特徴の深煎りブレンド。秋の夜長のリラックスタイムにぴったりです。","#秋限定 #季節のブレンド #深煎り #秋コーヒー #季節限定 #秋の味覚 #限定メニュー"
16,地域イベント参加の様子とブース,地域イベント\n出店しました,たくさんの\nご来店感謝,イベントブースでコーヒーを提供する様子,移動販売\n大成功,地域の\nマルシェイベント\nに出店\nしました,イベントでコーヒーを楽しむ地域住民,地域の皆様と\n交流,たくさんの方と\n交流できて\n嬉しかったです,次回イベントのお知らせボード,次回も\n出店予定,来月の\nイベントにも\n出店します\nお楽しみに,"先週末の地域マルシェイベントに出店しました！たくさんの方にご来店いただき感謝です。来月のイベントにも出店予定ですのでお楽しみに！","#地域イベント #マルシェ #移動販売 #イベント出店 #地域交流 #コーヒースタンド #地域密着"
17,店内コンサートの様子とアコースティックギター,店内ライブ\n開催決定,音楽とコーヒーの\n素敵な夜,アコースティックギターの生演奏,生演奏\nライブ,アコースティック\nギターの\n心地よい音色,演奏を聴きながらコーヒーを楽しむ客,音楽と\nコーヒーを,素敵な音楽と\n美味しいコーヒー\nの贅沢な\nひととき,ライブのフライヤーと日程,今月末\n開催,今月末の\n金曜日19時\nから開催\nご予約を,"今月末の金曜日19時から店内ライブを開催します！アコースティックギターの生演奏を聴きながら、美味しいコーヒーをお楽しみください。","#店内ライブ #アコースティック #生演奏 #音楽イベント #ライブカフェ #ギターライブ #イベント"
18,新人バリスタの笑顔と紹介,新人バリスタ\n加入しました,フレッシュな\n笑顔でお迎え,新人バリスタがラテアートを作る様子,新人\nバリスタ紹介,今月から\n新しいスタッフが\n仲間入り\nしました,先輩バリスタから指導を受ける様子,先輩から\n技術を習得中,毎日練習して\n腕を磨いて\nいます,笑顔で接客する新人バリスタ,元気な\n笑顔で,フレッシュな\n笑顔で\nお客様を\nお迎えします,"今月から新しいバリスタが仲間入りしました！毎日練習を重ねて腕を磨いています。フレッシュな笑顔で皆様をお迎えしますので、ぜひお声がけください！","#新人スタッフ #バリスタ #スタッフ紹介 #新人 #チーム #カフェスタッフ #笑顔"
