動画場面1説明,動画場面1テキストエリア1,動画場面1テキストエリア2,動画場面2説明,動画場面2テキストエリア1,動画場面2テキストエリア2,動画場面3説明,動画場面3テキストエリア1,動画場面3テキストエリア2,投稿のテキスト+ハッシュタグ
"if(塾)のロゴが中央に配置された青と白のグラフィック画像。カメラがゆっくりズームインし、ロゴの周りに抽象的なコード断片やプログラミングアイコンがフェードインで現れる動き","if(塾)\nとは?","オンラインで\n学べる\nプログラミング塾","Discord画面で複数の生徒アバターが表示されている画像。画面が左から右にスライドし、共有画面にカラフルなコードが次々と表示される動き","自宅で\n受講","どこからでも\n質の高い\n授業を","パソコン画面にPythonコードが表示されている画像。コードが上から下にスクロールし、構文ハイライトが虹色に光るエフェクト","楽しく\n学べる","プログラミングの\n基礎から\n応用まで","if(塾)では、プログラミングとAI、起業家精神を学べるオンライン教育を提供しています。子どもたちの可能性を最大限に引き出します。
#if塾
#オンライン塾
#プログラミング教育
#子ども教育
#未来を創る"
"マインクラフトのカラフルな建造物が表示されたゲーム画面の画像。カメラが建造物の周りを360度回転し、ブロックがキラキラ光るエフェクト","マイクラで\n学ぶ","楽しみながら\nプログラミング\nの基礎","マインクラフト教育版のコードビルダー画面の画像。カメラが下から上にパンし、コードブロックが組み合わさるアニメーション","コードで\n制御","ゲーム内で\nプログラミング\nを体験","マインクラフト内のレッドストーン回路が光っている画像。赤い光が回路を流れるように点滅し、カメラがゆっくりズームイン","論理的\n思考力","回路を作りながら\n考える力を\n育てる","マインクラフトを使ったプログラミング学習で、子どもたちは楽しみながら論理的思考を身につけます。ゲームの中で創造性を発揮できます。
#マインクラフト
#プログラミング学習
#ゲーム学習
#論理的思考
#教育版マイクラ
#if塾"
"講師紹介のグラフィックデザイン画像、教育アイコンが配置されている。画面が下から上にスライドし、各アイコンが順番にポップアップ表示される動き","経験豊富な\n講師陣","プロの\nエンジニアが\n指導","Discord画面で講師がコードを画面共有している画像。カメラが画面共有部分にズームインし、コードの一部がハイライト表示される動き","わかり\nやすい","画面越しでも\n丁寧に\n説明","オンライン授業でコードにコメントが書き込まれている画像。コメントが一つずつ表示され、マーカーで強調される動き","個別\nサポート","一人ひとりの\nペースに\n合わせて","if(塾)の講師陣は、プログラミングと教育の経験が豊富です。オンラインでも対面と変わらない質の高い指導を提供します。
#講師紹介
#オンライン教育
#個別指導
#プログラミング講師
#教育サポート
#if塾"
"AIのニューラルネットワークを示す青と紫のグラフィック画像。ネットワークのノードが順番に光り、データが流れるようなエフェクト","AI学習","未来の技術を\n今から学ぶ","Teachable Machineのインターフェース画面の画像。カメラが左から右にパンし、学習データが追加されるアニメーション","ビジュアル\nで学ぶ","AIの仕組みを\n楽しく\n理解","AIモデルのトレーニング結果を示すグラフ画面の画像。精度グラフが0から100%まで上昇するアニメーション、カメラはゆっくりズームイン","実際に\n作る","自分のAIを\nトレーニング\nする体験","AI学習プログラムでは、基礎から実践まで段階的に学べます。子どもたちが実際にAIを作る体験を通じて、未来に必要なスキルを習得できます。
#AI学習
#人工知能
#機械学習
#未来教育
#STEM教育
#if塾"
"起業家教育を表すグラフィック、電球とロケットのアイコンが配置された画像。電球が点灯し、ロケットが上昇するアニメーション、カメラは中心から外側にズームアウト","起業家\n教育","ビジネスの\n基礎から学ぶ","マインドマップツールでアイデアが整理されている画面の画像。カメラが中心から枝分かれするノードを追いかけるように動き、ノードが順番に展開","アイデア\nを形に","自分の考えを\n整理する\n方法","プレゼンテーションスライドが表示されている画面の画像。スライドが一枚ずつめくられるアニメーション、カメラは正面から固定","発表力","自分のアイデアを\n伝える\nスキル","起業家教育プログラムでは、ビジネスの基礎から実践まで学べます。自分のアイデアを形にする過程で、問題解決力とチャレンジ精神を育てます。
#起業家教育
#ビジネス教育
#アイデア実現
#チャレンジ精神
#プレゼン力
#if塾"
"オンライン学習を示すグラフィック、パソコンとWiFiアイコンが配置された画像。WiFi信号が波のように広がるアニメーション、カメラは上から下にパン","オンライン\n学習","自宅で\n質の高い授業","Discordのビデオ会議画面の画像。複数のビデオウィンドウが順番にポップアップ表示され、チャット欄にメッセージが流れるアニメーション","双方向\n授業","リアルタイムで\n質問・相談\nできる","学習管理システムのダッシュボード画面の画像。カメラが上から下にスクロールし、進捗バーが満たされていくアニメーション","進捗\n管理","学習状況が\nひと目で\nわかる","オンライン学習なら、自宅で質の高い授業が受けられます。録画機能で復習もでき、保護者も安心して見守れます。
#オンライン学習
#自宅学習
#Discord授業
#保護者安心
#質の高い教育
#if塾"
"カラフルなコードが表示されたエディタ画面の画像。カーソルが自動的にコードをタイピングするアニメーション、構文ハイライトが順番に色づく動き","コーディング","実際に\nコードを書く","コンソール画面にHello Worldが出力される画像。テキストが一文字ずつタイプライター風に表示され、カメラはゆっくりズームイン","動いた!\n瞬間","自分のコードが\n動く\n喜び","エラー画面と修正後の成功画面が並んでいる画像。エラー側が暗くなり、成功側が明るく光るトランジションエフェクト、カメラは左から右にパン","問題\n解決力","エラーを\n乗り越える\n経験","プログラミング学習では、実際にコードを書く体験を通じて論理的思考を育てます。エラーを解決する過程で問題解決力が身につきます。
#プログラミング
#コーディング
#論理的思考
#問題解決
#達成感
#if塾"
"複数の人物アイコンが繋がっているグラフィック画像。アイコン間の線が順番に光り、ネットワークが広がるアニメーション","みんなで\n学ぶ","仲間と一緒に\n成長できる","Discordのグループチャンネル画面の画像。小グループのウィンドウが表示され、画面共有が切り替わるアニメーション、カメラは右から左にスライド","協力して\n学ぶ","教え合い\n学び合う\n環境","GitHubの共同編集画面の画像。複数のユーザーアイコンが同時に表示され、コメントが追加されるアニメーション、カメラはゆっくり上にパン","共同\n作業","オンラインでも\n協力\nできる","if(塾)では、オンラインでも仲間と一緒に学ぶ環境を大切にしています。協力して課題を解決する中で、コミュニケーション力が育ちます。
#協働学習
#チームワーク
#コミュニケーション力
#仲間
#成長
#if塾"
"スマートフォンとコードのグラフィック画像。スマートフォン画面にアプリアイコンが次々と表示されるアニメーション、カメラは下から上にズームイン","アプリ\n開発","自分の\nアプリを作る","MIT App Inventorのブロック組み立て画面の画像。ブロックが自動的に組み合わさるアニメーション、カメラは左から右にパン","ブロック\nで作る","ブロックを\n組み合わせて\nアプリ作成","完成したアプリがスマートフォン画面に表示されている画像。アプリが起動し、ボタンがタップされるアニメーション、画面が光るエフェクト","完成!\nアプリ","実際に動く\nアプリの\n完成","アプリ開発コースでは、自分だけのアプリを一から作ります。デザインから機能まで自分で考え、実際に動くものを作る過程で創造力が身につきます。
#アプリ開発
#プログラミング
#創造力
#実践的スキル
#ものづくり
#if塾"
"ゲームコントローラーとピクセルアートキャラクターのグラフィック画像。キャラクターがジャンプするアニメーション、背景が左右にスクロールする動き","ゲーム\n開発","遊びを\n作る側へ","Scratchのゲーム開発画面の画像。スプライトが動き、ブロックコードが組み立てられるアニメーション、カメラは上から下にパン","企画から\n実装","ストーリーも\nルールも\n全部自分で","完成したゲームのプレイ画面の画像。キャラクターが動き、スコアが増加するアニメーション、カメラはキャラクターを追いかける動き","完成\nゲーム","自作ゲームで\n遊べる\n喜び","ゲーム開発では、企画からプログラミングまで全てを体験します。自分が作ったゲームが実際に動く喜びが、さらなる学習意欲につながります。
#ゲーム開発
#プログラミング
#Scratch
#創造性
#学習意欲
#if塾"
"3D形状のワイヤーフレームが表示されたグラフィック画像。ワイヤーフレームが回転し、徐々に色が付いていくアニメーション、カメラは斜めから360度回転","3D\nモデリング","立体的に\n考える力","Tinkercadの3D編集画面の画像。シンプルな形状が組み合わさり、オブジェクトが形成されるアニメーション、カメラはゆっくりズームイン","簡単な\nツール","初心者でも\n使いやすい\n3Dソフト","完成した3Dモデルのレンダリング画像。照明が当たり、影が伸びるアニメーション、カメラがモデルの周りを回転","作品\n完成","自分の想像が\n3Dで\n形になる","3Dモデリングコースでは、立体的な作品を作ります。空間認識力と創造力を育てながら、自分の想像を形にする楽しさを体験できます。
#3Dモデリング
#空間認識
#創造力
#Tinkercad
#ものづくり
#if塾"
"ロボットとギアのグラフィック画像。ギアが回転し、ロボットの目が光るアニメーション、カメラは左から右にパン","ロボット\nプログラミング","実際に動く\nものを作る","micro:bitのプログラミング画面の画像。ブロックコードが組み立てられ、LEDが光るシミュレーションが表示される動き","コードで\n制御","センサーや\nモーターを\nプログラム","実際のmicro:bitが光っている画像。LEDが順番に点灯し、カメラがデバイスの周りをゆっくり回転する動き","実機\n体験","実物の\nロボットも\n使える","ロボットプログラミングでは、実際に動くロボットを制御します。ハードウェアとソフトウェアの両方を学び、理論と実践を結びつける力が身につきます。
#ロボット
#プログラミング
#microbit
#STEM教育
#実践学習
#if塾"
"無料のテキストが大きく表示されたグラフィック画像。テキストが拡大され、周りに星がキラキラするエフェクト、カメラは中心からズームアウト","無料体験","まずは\n試してみよう","体験授業の案内が表示されたウェブページの画像。申し込みボタンが光り、ページが上から下にスクロールする動き","簡単\n申込","ウェブから\nすぐに\n申し込める","Discord体験授業の画面の画像。講師が画面に表示され、手を振る動き、教材が画面共有される動き","実際の\n授業","本物の授業を\n体験\nできる","if(塾)では無料体験授業を実施しています。実際の授業を体験して、お子様に合うかどうか確認してから始められます。
#無料体験
#オンライン授業
#授業体験
#入塾検討
#安心
#if塾"
"カレンダーと時計のアイコンが表示されたグラフィック画像。時計の針が回り、カレンダーの日付が変わるアニメーション、カメラはゆっくりズームイン","柔軟な\nスケジュール","自分の\nペースで学習","スケジューリングツールの画面の画像。カレンダーに予約が追加され、空き時間が色分けされるアニメーション、カメラは上から下にパン","予約\nシステム","自分の都合に\n合わせて\n予約","学習ダッシュボードの画面の画像。進捗バーが伸び、グラフが上昇するアニメーション、カメラは右から左にスライド","進捗\n確認","学習状況を\nいつでも\n確認","オンラインだから、お子様のスケジュールに合わせて柔軟に学習できます。習い事や部活との両立も簡単で、最も集中できる時間を選べます。
#柔軟なスケジュール
#オンライン学習
#両立
#効率的学習
#進捗管理
#if塾"
"メダルとトロフィーのグラフィック画像。メダルが回転し、トロフィーが輝くエフェクト、カメラは下から上にズームイン","達成感","小さな目標を\n積み重ねる","バッジが並んだ達成記録画面の画像。バッジが一つずつ獲得され、ポップアップ表示されるアニメーション、カメラは左から右にパン","達成\nバッジ","頑張りが\n見える\n仕組み","学習進捗グラフの画面の画像。グラフが0から100%まで上昇し、レベルアップのエフェクトが表示される動き","成長\nグラフ","上達が\nひと目で\nわかる","if(塾)では、小さな達成を積み重ねることを大切にしています。スキルアップが見える化されることで、お子様の自信と学習意欲が育ちます。
#成長実感
#達成感
#自信
#学習意欲
#見える化
#if塾"
"1対1を示すアイコンのグラフィック画像。2つのアイコンが近づき、矢印が両方向に表示されるアニメーション、カメラはゆっくりズームイン","個別指導","一人ひとりに\n最適な学び","レベル分けされたカリキュラム表の画像。初級から上級へ階段状に進むアニメーション、各レベルがハイライトされる動き","段階的\n学習","基礎から\n応用まで\nステップアップ","AIレコメンド機能の画面の画像。おすすめコンテンツが次々と表示され、マッチング度が表示されるアニメーション","AI\nサポート","最適な課題を\n自動で\n提案","一人ひとりの理解度に合わせたレベル別指導で、確実にスキルアップできます。AIを活用した最適な課題提案で、効率的に学習を進められます。
#レベル別指導
#個別カリキュラム
#AI活用
#段階的学習
#確実な成長
#if塾"
"絵筆とデジタルツールのグラフィック画像。絵筆が動いてカラフルな線を描き、色が広がるアニメーション、カメラは左から右にパン","デジタル\nアート","表現力を\n育てる","ピクセルアートエディタの画面の画像。ドット絵が一ドットずつ描かれ、キャラクターが完成するアニメーション、カメラはゆっくりズームイン","ドット絵","ピクセルアートで\nキャラクター\n制作","完成したピクセルアート作品のギャラリー画面の画像。作品がスライドショー形式で次々と表示される動き、各作品が光るエフェクト","作品\nギャラリー","自分の作品を\n展示\nできる","デジタルアートコースでは、プログラミングとアート制作を融合させます。技術力と表現力の両方を育て、お子様の個性を活かした創造活動ができます。
#デジタルアート
#表現力
#ピクセルアート
#プログラミング
#個性
#if塾"
"ブラウザウィンドウとHTMLコードのグラフィック画像。コードが入力され、ブラウザにページが表示されるアニメーション、カメラは上から下にパン","Web開発","実用的な\nスキル習得","HTMLコードエディタの画面の画像。タグが順番に入力され、構文ハイライトが色づくアニメーション、カメラは左から右にスライド","HTML\nCSS","ウェブの\n基礎を\n学ぶ","レスポンシブデザインの比較画面の画像。PC・タブレット・スマホの表示が順番に切り替わるアニメーション、カメラは中心に固定","レスポンシブ","色々な\n画面サイズに\n対応","Web開発コースでは、実際に公開できるウェブサイトを作ります。デザインとコーディングの両方を学び、将来に活かせる実践的なスキルが身につきます。
#Web開発
#HTML
#CSS
#実践的スキル
#ポートフォリオ
#if塾"
"グラフとチャートのグラフィック画像。棒グラフが伸び、円グラフが回転するアニメーション、数値がカウントアップする動き","データ\n分析","数字から\n学ぶ力","スプレッドシートのデータ表の画像。データが一行ずつ入力され、表が完成するアニメーション、カメラは上から下にスクロール","データ\n整理","情報を\n整理する\n方法を学ぶ","カラフルなグラフが表示された画面の画像。複数のグラフが順番に表示され、インサイトがポップアップする動き","グラフ\n作成","データを\n視覚化\nする","データサイエンスコースでは、データ分析の基礎を学びます。身近なデータを使って実践的に学ぶことで、論理的思考と分析力が自然に身につきます。
#データサイエンス
#データ分析
#論理的思考
#分析力
#実践学習
#if塾"
"価格表のグラフィック画像。料金プランが一つずつ表示され、チェックマークが追加されるアニメーション、カメラは上から下にパン","明確な\n料金","安心して\n始められる","料金表の詳細画面の画像。各項目がハイライトされ、含まれる内容が展開されるアニメーション、カメラはゆっくりズームイン","わかり\nやすい","追加費用なしの\n明確な\n価格","支払い方法の案内画面の画像。クレジットカードや振込のアイコンが表示され、セキュリティマークが光るエフェクト","安全\n決済","オンラインで\n安全に\n支払い","if(塾)の料金体系は明確でわかりやすく設定されています。コース別の料金で、必要な学習内容を選んで始められます。追加費用の心配もありません。
#料金
#明確な価格
#安心
#コース選択
#オンライン入会
#if塾"
"多様な人々を示すアイコンのグラフィック画像。アイコンが円形に並び、虹色に光るアニメーション、カメラは円の中心から外側にズームアウト","すべての\n子どもに","年齢や\nレベル問わず","年齢別コース一覧の画面の画像。幅広い年齢層が表示され、各コースがハイライトされるアニメーション、カメラは左から右にスライド","誰でも\n始められる","初心者から\n経験者まで\n大歓迎","多様な学習スタイルを示すグラフィック画面の画像。ビジュアル・実践・協働などのアイコンが順番に表示される動き","個性\n尊重","それぞれの\n学び方を\n大切に","if(塾)は、すべての子どもたちに開かれた学びの場です。初心者から上級者まで、それぞれのペースで成長できる環境を提供しています。
#すべての子どもに
#初心者歓迎
#多様性
#個性尊重
#inclusive教育
#if塾"
