投稿日,1枚目画像説明,2枚目画像説明,3枚目画像説明,キャプション,ハッシュタグ
2025-10-02,if(塾)ロゴ,AIと起業を学ぶオンラインプログラミング塾のテキスト,無料体験授業申し込みボタン,"【if(塾)って何？】
AIと起業を学ぶオンラインプログラミング塾です🚀

遠隔・全国対応で、好きなことを学びながら稼げる力を育成💪

📍詳しくはプロフィールリンクから
✨無料体験授業受付中！",#プログラミング塾 #オンライン学習 #AI教育 #起業教育 #秋田 #不登校支援 #中学生 #高校生
2025-10-04,マインクラフトのゲーム画面,リベラルコース紹介,AI先生とのチャット画面,"【リベラルコース紹介🎮】
マインクラフトで学ぶ創造力・基礎ITスキルコース

✨週1回から参加可能
👦小学生〜中学生にオススメ
🎯遊び感覚で学習できる

マイクラをメタバース化した空間で自由に探索！",#マインクラフト #プログラミング教育 #小学生 #中学生 #オンライン塾 #ゲーム #学習
2025-10-06,プログラミング画面,自己実現コース紹介,起業プロジェクト例,"【自己実現コース紹介💼】
AIや起業など実践的なスキルを学ぶコース

✨週2〜3回推奨
👨‍🎓中学生〜高校生にオススメ
💰実際に仕事に挑戦し収益を得る経験も

メンターのサポートで夢を実現！",#起業 #AI #プログラミング #高校生 #自己実現 #実践的 #スキルアップ
2025-10-08,Googleカレンダー画面,オンライン授業の様子,参加者の笑顔,"【授業スケジュール📅】
授業は基本的にオンラインで実施

🌐全国どこからでも参加可能
🎥録画視聴もOK
💬チャットやボイスで気軽に質問

詳しいスケジュールはプロフィールから！",#オンライン授業 #遠隔学習 #全国対応 #Discord #プログラミング
2025-10-10,if(チャレンジ)のサイクル図,企業案件の様子,報酬を得る生徒の様子,"【if(チャレンジ)🎯】
能動的に学ぶ力を身につける

💼企業からの案件を割り振り
💰報酬を得ながら実践的スキル習得
👨‍🏫メンターのサポート付き

※案件参加には保護者の同意が必要です",#実践的 #案件 #スキルアップ #稼ぐ力 #メンター #サポート
2025-10-12,不登校のグラフ,子どもたちの笑顔,第三の居場所のイメージ,"【増え続ける不登校📊】
if(塾)は学校でも家でもない第三の居場所

🏠安心して学べる環境
🎮遊びを通じて心が解ける
📚意欲や学習習慣を再構築

あなたらしく学べる場所がここにあります",#不登校 #不登校支援 #第三の居場所 #フリースクール #オンライン #安心
2025-10-14,経済格差のグラフ,地方と都市部の比較,自ら稼ぐ生徒の様子,"【広がる経済格差💰】
if(塾)は「自ら稼ぐ力」を育成

🌾地域や家庭環境に左右されない
💪将来の夢を切り拓く
👨‍💼高校生が社会で活躍できる道

地方からでも未来は開ける！",#経済格差 #地方創生 #稼ぐ力 #自立支援 #将来 #夢
2025-10-16,デジタルディバイドの図,AI先生の画面,最新技術を学ぶ生徒,"【デジタルディバイド💻】
if(塾)は最新AIで学習環境を革新

🤖AI先生にいつでも質問
⚡最大効率で学習
🌐地方からICT教育を革命的に進める

日本の教育を変えていきます！",#デジタル #AI #ICT教育 #最新技術 #地方 #教育改革
2025-10-18,入塾の流れ図,体験授業の様子,入塾手続きのイメージ,"【入塾までの流れ📝】

①無料体験授業に申し込み
②体験授業参加
③カウンセリング
④入塾手続き

まずは気軽に体験してみませんか？
プロフィールリンクから申し込み可能！",#無料体験 #体験授業 #入塾 #申し込み #カウンセリング
2025-10-20,オンライン授業の画面,Discord画面,全国参加のイメージ,"【サービス①オンライン授業🌐】
月額11,000円〜のサブスクリプション

📱Discordを使用
🌏全国どこからでも参加可能
📹録画も視聴可能
💬質問もチャットやボイスで気軽に

詳しくはプロフィールから！",#オンライン授業 #Discord #全国対応 #サブスク #月額 #質問
